"FIRE_NUM,C,25","FIRE_YEAR,N,4,0","RSPNCE_TYP,C,200","IGNITN_DT,D","FIREOUT_DT,D","STATUS,C,30","FIRE_CAUSE,C,10","FIRE_CENTR,N,10,0","ZONE,N,10,0","FIRE_ID,N,10,0","GEOGRAPHIC,C,254","LATITUDE,N,11,4","LONGITUDE,N,11,4","CURRENT_SZ,N,9,3","FIRE_LINK,C,254"
V80157,2023,,04/29/2023,05/01/2023,Out,Unknown,2,8,157,Cottonwood Ave,50.3369,-125.8975,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V80157
R90857,2023,Modified,06/23/2023,,Out of Control,Lightning,3,9,857,Little Klappan River,57.3586,-129.0278,550,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R90857
K51745,2023,,07/15/2023,07/17/2023,Out,Person,5,5,1745,McDougall Creek,49.8728,-119.5959,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K51745
K42116,2023,,07/22/2023,,Being Held,Unknown,5,4,2116,Twin Lakes,51.0595,-118.5595,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K42116
V31674,2023,Full,07/13/2023,07/15/2023,Out,Lightning,2,3,1674,Ure Creek,50.2262,-122.6151,0.01,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V31674
R31348,2023,,07/08/2023,07/16/2023,Out,Lightning,3,3,1348,N of Tobaggon Creek,54.8612,-127.2952,0.2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R31348
R11428,2023,Full,07/09/2023,07/16/2023,Out,Lightning,3,1,1428,200m W of Pinkut Lake,54.4102,-125.69,1.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R11428
R31512,2023,Modified,07/10/2023,,Out of Control,Lightning,3,3,1512,John Brown Creek,55.0104,-127.4476,48,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R31512
G40889,2023,Full,06/24/2023,06/24/2023,Out,Person,4,4,889,Myers Frontage Rd,53.9113,-123.638,0.5,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G40889
R11816,2023,,07/17/2023,,Out of Control,Lightning,3,1,1816,2km N of Bird Lake,53.6649,-125.2083,1.5,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R11816
K22095,2023,,07/22/2023,07/22/2023,Out,Lightning,5,2,2095,Edwards Creek,50.9279,-120.1208,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K22095
G71539,2023,Full,07/11/2023,07/17/2023,Out,Person,4,7,1539,Kiskatinaw River,55.9281,-120.661,1.92,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G71539
K52063,2023,,07/21/2023,,Out of Control,Lightning,5,5,2063,Lower Greata Creek,49.7711,-119.8325,0.5,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K52063
